------------------------------------------------------------
 vsweep_high=0
------------------------------------------------------------
Voltage (V), Current (A/cm2)
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43000149e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43000149e-14
                   0,      -7.43184895e-14
                   0,      -7.43000149e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43000149e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43000149e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43000149e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43000149e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14
                   0,      -7.43184895e-14

------------------------------------------------------------
 vsweep_high=-5
------------------------------------------------------------
Voltage (V), Current (A/cm2)
                   0,      -7.43184895e-14
                  -0,      -7.43184895e-14
       -0.0505050505,         -0.414666638
        -0.101010101,         -0.613999413
        -0.151515152,         -0.759409133
        -0.202020202,          -0.88638849
        -0.252525253,          -1.00301481
        -0.303030303,           -1.1119218
        -0.353535354,          -1.21455394
        -0.404040404,          -1.31189945
        -0.454545455,          -1.40468657
        -0.505050505,          -1.49347775
        -0.555555556,          -1.57872396
        -0.606060606,          -1.66079639
        -0.656565657,          -1.74000545
        -0.707070707,          -1.81661434
        -0.757575758,          -1.89084987
        -0.808080808,          -1.96290322
        -0.858585859,          -2.03294727
        -0.909090909,           -2.1011286
